condition,mapping,gc_threshold,workload,repetitions,read_iops,write_iops,total_iops,read_bw_mib_s,write_bw_mib_s,total_bw_mib_s,read_p99_us,write_p99_us,worst_p99_us,read_p999_us,write_p999_us,worst_p999_us,host_write_pages,gc_write_pages,waf
page-gc75,page,75,randread-4k-qd1,3,26722.421293,0.0,26722.421293,104.38452243804932,0.0,104.38452243804932,49.408,0.0,49.408,58.624,0.0,58.624,0.0,0.0,1.0
page-gc75,page,75,randread-4k-qd32,3,308053.415776,0.0,308053.415776,1203.3357381820679,0.0,1203.3357381820679,166.912,0.0,166.912,211.968,0.0,211.968,0.0,0.0,1.0
page-gc75,page,75,randrw30-4k-qd32,3,52829.936168,123205.279912,176035.21607999998,206.36713314056396,481.27244663238525,687.6395797729492,248.832,250.88,250.88,3620.864,3686.4,3686.4,8625093.0,236254.0,1.0273882893902202
page-gc75,page,75,randrw70-4k-qd32,3,174157.61404,74647.322545,248804.936585,680.3040904998779,291.592209815979,971.8963003158569,257.024,272.384,272.384,321.536,391.168,391.168,5228514.0,143585.0,1.0274579539621989
page-gc75,page,75,randwrite-4k-qd1,3,0.0,4774.537091,4774.537091,0.0,18.650534629821777,18.650534629821777,0.0,226.304,226.304,0.0,354.304,354.304,334309.0,0.0,1.0
page-gc75,page,75,randwrite-4k-qd32,3,0.0,145746.270895,145746.270895,0.0,569.3233880996704,569.3233880996704,0.0,252.928,252.928,0.0,3784.704,3784.704,10204517.0,279430.0,1.027437947332539
page-gc75,page,75,read-128k-qd1,3,10154.930751,0.0,10154.930751,1269.36634349823,0.0,1269.36634349823,164.864,0.0,164.864,205.824,0.0,205.824,0.0,0.0,1.0
page-gc75,page,75,read-128k-qd32,3,65952.18413,0.0,65952.18413,8244.087597846985,0.0,8244.087597846985,839.68,0.0,839.68,1011.712,0.0,1011.712,0.0,0.0,1.0
page-gc75,page,75,write-128k-qd1,3,0.0,4596.723388,4596.723388,0.0,574.5904226303101,574.5904226303101,0.0,224.256,224.256,0.0,2146.304,2146.304,10299296.0,0.0,1.0
page-gc75,page,75,write-128k-qd32,3,0.0,9622.708486,9622.708486,0.0,1202.9031391143799,1202.9031391143799,0.0,5210.112,5210.112,0.0,5275.648,5275.648,21557344.0,0.0,1.0
