condition,mapping,gc_threshold,workload,repetition,read_iops,write_iops,total_iops,read_bw_mib_s,write_bw_mib_s,total_bw_mib_s,read_p99_us,write_p99_us,worst_p99_us,read_p999_us,write_p999_us,worst_p999_us,host_write_pages,gc_write_pages,waf
dftl4m-gc75,dftl,75,randread-4k-qd1,1,24098.015033,0.0,24098.015033,94.1328706741333,0.0,94.1328706741333,51.968,0.0,51.968,87.552,0.0,87.552,0,0,1.0
dftl4m-gc75,dftl,75,randread-4k-qd1,2,24142.830953,0.0,24142.830953,94.30793285369873,0.0,94.30793285369873,51.968,0.0,51.968,86.528,0.0,86.528,0,0,1.0
dftl4m-gc75,dftl,75,randread-4k-qd1,3,24193.763437,0.0,24193.763437,94.5068883895874,0.0,94.5068883895874,51.968,0.0,51.968,86.528,0.0,86.528,0,0,1.0
dftl4m-gc75,dftl,75,randread-4k-qd32,1,304768.887185,0.0,304768.887185,1190.5055484771729,0.0,1190.5055484771729,175.104,0.0,175.104,211.968,0.0,211.968,0,0,1.0
dftl4m-gc75,dftl,75,randread-4k-qd32,2,312512.108132,0.0,312512.108132,1220.7524404525757,0.0,1220.7524404525757,173.056,0.0,173.056,216.064,0.0,216.064,0,0,1.0
dftl4m-gc75,dftl,75,randread-4k-qd32,3,313305.278245,0.0,313305.278245,1223.8508262634277,0.0,1223.8508262634277,173.056,0.0,173.056,216.064,0.0,216.064,0,0,1.0
dftl4m-gc75,dftl,75,randrw30-4k-qd32,1,33490.775154,78149.39751,111640.172664,130.82412147521973,305.2723207473755,436.0964422225952,782.336,831.488,831.488,3686.4,3751.936,3751.936,5470646,152322,1.027843512448073
dftl4m-gc75,dftl,75,randrw30-4k-qd32,2,33466.392227,78091.781804,111558.174031,130.72874546051025,305.0474548339844,435.77620029449463,782.336,831.488,831.488,3686.4,3719.168,3719.168,5466748,149197,1.0272917280986795
dftl4m-gc75,dftl,75,randrw30-4k-qd32,3,33457.442376,78070.948818,111528.391194,130.69332885742188,304.9664659500122,435.6597948074341,790.528,831.488,831.488,3653.632,3719.168,3719.168,5462892,148321,1.027150637427941
dftl4m-gc75,dftl,75,randrw70-4k-qd32,1,109493.708438,46919.151347,156412.859785,427.71096992492676,183.27884578704834,610.9898157119751,643.072,700.416,700.416,995.328,1056.768,1056.768,3283610,85780,1.0261236870395694
dftl4m-gc75,dftl,75,randrw70-4k-qd32,2,108381.926968,46443.409277,154825.336245,423.36807346343994,181.42041301727295,604.7884864807129,643.072,700.416,700.416,1003.52,1073.152,1073.152,3256632,92488,1.0283998928954823
dftl4m-gc75,dftl,75,randrw70-4k-qd32,3,108147.697538,46345.677572,154493.37511,422.45285415649414,181.0389747619629,603.491828918457,643.072,700.416,700.416,987.136,1056.768,1056.768,3243694,93513,1.0288291682261028
dftl4m-gc75,dftl,75,randwrite-4k-qd1,1,0.0,4310.711488,4310.711488,0.0,16.838716506958008,16.838716506958008,0.0,411.648,411.648,0.0,477.184,477.184,301948,0,1.0
dftl4m-gc75,dftl,75,randwrite-4k-qd1,2,0.0,4330.41116,4330.41116,0.0,16.915668487548828,16.915668487548828,0.0,411.648,411.648,0.0,473.088,473.088,303255,0,1.0
dftl4m-gc75,dftl,75,randwrite-4k-qd1,3,0.0,4322.744621,4322.744621,0.0,16.885720252990723,16.885720252990723,0.0,411.648,411.648,0.0,481.28,481.28,302564,0,1.0
dftl4m-gc75,dftl,75,randwrite-4k-qd32,1,0.0,98533.707772,98533.707772,0.0,384.8993139266968,384.8993139266968,0.0,880.64,880.64,0.0,3784.704,3784.704,6906462,138802,1.0200974102224845
dftl4m-gc75,dftl,75,randwrite-4k-qd32,2,0.0,98381.926968,98381.926968,0.0,384.3064851760864,384.3064851760864,0.0,880.64,880.64,0.0,3850.24,3850.24,6886996,189447,1.0275079294368692
dftl4m-gc75,dftl,75,randwrite-4k-qd32,3,0.0,98229.829503,98229.829503,0.0,383.71228885650635,383.71228885650635,0.0,880.64,880.64,0.0,3850.24,3850.24,6874859,189018,1.0274940911515422
dftl4m-gc75,dftl,75,read-128k-qd1,1,10159.41401,0.0,10159.41401,1269.9267511367798,0.0,1269.9267511367798,164.864,0.0,164.864,205.824,0.0,205.824,0,0,1.0
dftl4m-gc75,dftl,75,read-128k-qd1,2,10121.497975,0.0,10121.497975,1265.1872463226318,0.0,1265.1872463226318,164.864,0.0,164.864,211.968,0.0,211.968,0,0,1.0
dftl4m-gc75,dftl,75,read-128k-qd1,3,10084.881919,0.0,10084.881919,1260.6102390289307,0.0,1260.6102390289307,166.912,0.0,166.912,226.304,0.0,226.304,0,0,1.0
dftl4m-gc75,dftl,75,read-128k-qd32,1,65606.873219,0.0,65606.873219,8200.925817489624,0.0,8200.925817489624,839.68,0.0,839.68,1003.52,0.0,1003.52,0,0,1.0
dftl4m-gc75,dftl,75,read-128k-qd32,2,62839.819336,0.0,62839.819336,7855.04199886322,0.0,7855.04199886322,921.6,0.0,921.6,1155.072,0.0,1155.072,0,0,1.0
dftl4m-gc75,dftl,75,read-128k-qd32,3,64051.232479,0.0,64051.232479,8006.470725059509,0.0,8006.470725059509,880.64,0.0,880.64,1073.152,0.0,1073.152,0,0,1.0
dftl4m-gc75,dftl,75,write-128k-qd1,1,0.0,4353.010783,4353.010783,0.0,544.1263475418091,544.1263475418091,0.0,460.8,460.8,0.0,2146.304,2146.304,9791584,0,1.0
dftl4m-gc75,dftl,75,write-128k-qd1,2,0.0,4344.660922,4344.660922,0.0,543.0826148986816,543.0826148986816,0.0,460.8,460.8,0.0,2146.304,2146.304,9737664,0,1.0
dftl4m-gc75,dftl,75,write-128k-qd1,3,0.0,4350.860819,4350.860819,0.0,543.8576021194458,543.8576021194458,0.0,460.8,460.8,0.0,2146.304,2146.304,9772128,0,1.0
dftl4m-gc75,dftl,75,write-128k-qd32,1,0.0,9579.978001,9579.978001,0.0,1197.5618286132812,1197.5618286132812,0.0,5275.648,5275.648,0.0,5406.72,5406.72,21461088,0,1.0
dftl4m-gc75,dftl,75,write-128k-qd32,2,0.0,9581.261249,9581.261249,0.0,1197.7222347259521,1197.7222347259521,0.0,5210.112,5210.112,0.0,5406.72,5406.72,21466272,0,1.0
dftl4m-gc75,dftl,75,write-128k-qd32,3,0.0,9580.491951,9580.491951,0.0,1197.626070022583,1197.626070022583,0.0,5210.112,5210.112,0.0,5406.72,5406.72,21465152,0,1.0
