condition,mapping,gc_threshold,workload,repetition,read_iops,write_iops,total_iops,read_bw_mib_s,write_bw_mib_s,total_bw_mib_s,read_p99_us,write_p99_us,worst_p99_us,read_p999_us,write_p999_us,worst_p999_us,host_write_pages,gc_write_pages,waf
hybrid-gc75,hybrid,75,randread-4k-qd1,1,25626.80622,0.0,25626.80622,100.10471153259277,0.0,100.10471153259277,52.48,0.0,52.48,90.624,0.0,90.624,0,0,1.0
hybrid-gc75,hybrid,75,randread-4k-qd1,2,25179.21368,0.0,25179.21368,98.35630321502686,0.0,98.35630321502686,54.016,0.0,54.016,183.296,0.0,183.296,0,0,1.0
hybrid-gc75,hybrid,75,randread-4k-qd1,3,25872.035466,0.0,25872.035466,101.06263828277588,0.0,101.06263828277588,52.992,0.0,52.992,181.248,0.0,181.248,0,0,1.0
hybrid-gc75,hybrid,75,randread-4k-qd32,1,265944.0176,0.0,265944.0176,1038.8459014892578,0.0,1038.8459014892578,216.064,0.0,216.064,264.192,0.0,264.192,0,0,1.0
hybrid-gc75,hybrid,75,randread-4k-qd32,2,260862.435626,0.0,260862.435626,1018.9959716796875,0.0,1018.9959716796875,226.304,0.0,226.304,342.016,0.0,342.016,0,0,1.0
hybrid-gc75,hybrid,75,randread-4k-qd32,3,274561.923968,0.0,274561.923968,1072.5095987319946,0.0,1072.5095987319946,209.92,0.0,209.92,284.672,0.0,284.672,0,0,1.0
hybrid-gc75,hybrid,75,randrw30-4k-qd32,1,48.534296,113.225193,161.759489,0.18958663940429688,0.44423770904541016,0.633824348449707,1036.288,742391.808,742391.808,2088.96,2264924.16,2264924.16,7556,1950445,259.1319481206988
hybrid-gc75,hybrid,75,randrw30-4k-qd32,2,49.143462,114.640519,163.78398099999998,0.19196605682373047,0.4498167037963867,0.6417827606201172,1028.096,725614.592,725614.592,2605.056,1619001.344,1619001.344,7510,1924586,257.2697736351531
hybrid-gc75,hybrid,75,randrw30-4k-qd32,3,48.484258,113.384318,161.868576,0.1893911361694336,0.4448728561401367,0.6342639923095703,1019.904,742391.808,742391.808,3522.56,10536091.648,10536091.648,7490,1922592,257.6878504672897
hybrid-gc75,hybrid,75,randrw70-4k-qd32,1,274.672439,116.104621,390.77706,1.0729389190673828,0.4555339813232422,1.528472900390625,987.136,708837.376,708837.376,3522.56,2164260.864,2164260.864,8004,2104187,263.89192903548224
hybrid-gc75,hybrid,75,randrw70-4k-qd32,2,279.221857,118.049331,397.271188,1.0907096862792969,0.46313953399658203,1.553849220275879,978.944,708837.376,708837.376,2072.576,977272.832,977272.832,8020,2065042,258.4865336658354
hybrid-gc75,hybrid,75,randrw70-4k-qd32,3,274.487095,116.06552,390.552615,1.0722150802612305,0.4553842544555664,1.5275993347167969,962.56,708837.376,708837.376,1908.736,1132462.08,1132462.08,7922,2042077,258.77291088109064
hybrid-gc75,hybrid,75,randwrite-4k-qd1,1,0.0,3.796014,3.796014,0.0,0.014827728271484375,0.014827728271484375,0.0,283115.52,283115.52,0.0,283115.52,283115.52,277,67808,245.7942238267148
hybrid-gc75,hybrid,75,randwrite-4k-qd1,2,0.0,4.080409,4.080409,0.0,0.015938758850097656,0.015938758850097656,0.0,278921.216,278921.216,0.0,283115.52,283115.52,299,72704,244.1571906354515
hybrid-gc75,hybrid,75,randwrite-4k-qd1,3,0.0,4.106605,4.106605,0.0,0.016040802001953125,0.016040802001953125,0.0,274726.912,274726.912,0.0,278921.216,278921.216,303,73472,243.4818481848185
hybrid-gc75,hybrid,75,randwrite-4k-qd32,1,0.0,112.220975,112.220975,0.0,0.44036197662353516,0.44036197662353516,0.0,734003.2,734003.2,0.0,10804527.104,10804527.104,7362,1872096,255.2917685411573
