condition,mapping,gc_threshold,workload,repetitions,read_iops,write_iops,total_iops,read_bw_mib_s,write_bw_mib_s,total_bw_mib_s,read_p99_us,write_p99_us,worst_p99_us,read_p999_us,write_p999_us,worst_p999_us,host_write_pages,gc_write_pages,waf
hybrid-gc75,hybrid,75,randread-4k-qd1,3,25626.80622,0.0,25626.80622,100.10471153259277,0.0,100.10471153259277,52.992,0.0,52.992,181.248,0.0,181.248,0.0,0.0,1.0
hybrid-gc75,hybrid,75,randread-4k-qd32,3,265944.0176,0.0,265944.0176,1038.8459014892578,0.0,1038.8459014892578,216.064,0.0,216.064,284.672,0.0,284.672,0.0,0.0,1.0
hybrid-gc75,hybrid,75,randrw30-4k-qd32,3,48.534296,113.384318,161.868576,0.18958663940429688,0.4448728561401367,0.6342639923095703,1028.096,742391.808,742391.808,2605.056,2264924.16,2264924.16,7510.0,1924586.0,257.6878504672897
hybrid-gc75,hybrid,75,randrw70-4k-qd32,3,274.672439,116.104621,390.77706,1.0729389190673828,0.4555339813232422,1.528472900390625,978.944,708837.376,708837.376,2072.576,1132462.08,1132462.08,8004.0,2065042.0,258.77291088109064
hybrid-gc75,hybrid,75,randwrite-4k-qd1,3,0.0,4.080409,4.080409,0.0,0.015938758850097656,0.015938758850097656,0.0,278921.216,278921.216,0.0,283115.52,283115.52,299.0,72704.0,244.1571906354515
hybrid-gc75,hybrid,75,randwrite-4k-qd32,3,0.0,113.499258,113.499258,0.0,0.44535160064697266,0.44535160064697266,0.0,734003.2,734003.2,0.0,11878268.928,11878268.928,7362.0,1872096.0,255.64171413072958
hybrid-gc75,hybrid,75,read-128k-qd1,3,18901.134981,0.0,18901.134981,2362.641872406006,0.0,2362.641872406006,56.576,0.0,56.576,146.432,0.0,146.432,0.0,0.0,1.0
hybrid-gc75,hybrid,75,read-128k-qd32,3,61333.17778,0.0,61333.17778,7666.711804389954,0.0,7666.711804389954,970.752,0.0,970.752,1187.84,0.0,1187.84,0.0,0.0,1.0
hybrid-gc75,hybrid,75,write-128k-qd1,3,0.0,2094.046865,2094.046865,0.0,261.75585746765137,261.75585746765137,0.0,2113.536,2113.536,0.0,2211.84,2211.84,4704096.0,2656.0,1.0005646143275988
hybrid-gc75,hybrid,75,write-128k-qd32,3,0.0,2809.204108,2809.204108,0.0,351.21459102630615,351.21459102630615,0.0,21102.592,21102.592,0.0,21102.592,21102.592,6343488.0,5440.0,1.0008575074779695
