condition,mapping,gc_threshold,workload,repetition,read_iops,write_iops,total_iops,read_bw_mib_s,write_bw_mib_s,total_bw_mib_s,read_p99_us,write_p99_us,worst_p99_us,read_p999_us,write_p999_us,worst_p999_us,host_write_pages,gc_write_pages,waf
page-gc50,page,50,randread-4k-qd1,1,25875.035416,0.0,25875.035416,101.07435703277588,0.0,101.07435703277588,51.456,0.0,51.456,76.288,0.0,76.288,0,0,1.0
page-gc50,page,50,randread-4k-qd1,2,25915.751404,0.0,25915.751404,101.23340320587158,0.0,101.23340320587158,51.968,0.0,51.968,89.6,0.0,89.6,0,0,1.0
page-gc50,page,50,randread-4k-qd1,3,26460.708988,0.0,26460.708988,103.36214447021484,0.0,103.36214447021484,50.432,0.0,50.432,105.984,0.0,105.984,0,0,1.0
page-gc50,page,50,randread-4k-qd32,1,281068.198863,0.0,281068.198863,1097.924735069275,0.0,1097.924735069275,197.632,0.0,197.632,252.928,0.0,252.928,0,0,1.0
page-gc50,page,50,randread-4k-qd32,2,282838.069366,0.0,282838.069366,1104.8382263183594,0.0,1104.8382263183594,201.728,0.0,201.728,259.072,0.0,259.072,0,0,1.0
page-gc50,page,50,randread-4k-qd32,3,278065.282245,0.0,278065.282245,1086.1945915222168,0.0,1086.1945915222168,205.824,0.0,205.824,264.192,0.0,264.192,0,0,1.0
page-gc50,page,50,randrw30-4k-qd32,1,48509.274845,113146.197563,161655.472408,189.48974514007568,441.97896099090576,631.4687061309814,268.288,309.248,309.248,8716.288,8847.36,8847.36,7851920,980532,1.1248779916249783
page-gc50,page,50,randrw30-4k-qd32,2,48520.174664,113144.880919,161665.055583,189.5321922302246,441.97401332855225,631.5062055587769,268.288,305.152,305.152,8716.288,8847.36,8847.36,7969294,995440,1.1249094336336443
page-gc50,page,50,randrw30-4k-qd32,3,48109.098182,112207.496542,160316.594724,187.9264898300171,438.3122253417969,626.238715171814,272.384,309.248,309.248,8716.288,8847.36,8847.36,7817312,976514,1.1249168512143304
page-gc50,page,50,randrw70-4k-qd32,1,154091.131814,66021.932968,220113.06478199997,601.919264793396,257.8994770050049,859.8187417984009,280.576,333.824,333.824,403.456,509.952,509.952,4561166,568431,1.1246240544632666
page-gc50,page,50,randrw70-4k-qd32,2,158136.681055,67758.20403,225894.885085,617.7223215103149,264.68165588378906,882.403977394104,272.384,321.536,321.536,370.688,436.224,436.224,4629585,580550,1.1254000088560854
page-gc50,page,50,randrw70-4k-qd32,3,154525.82457,66209.746504,220735.57107399998,603.61754322052,258.63286304473877,862.2504062652588,280.576,329.728,329.728,378.88,489.472,489.472,4579969,574107,1.1253517218129643
page-gc50,page,50,randwrite-4k-qd1,1,0.0,4754.78742,4754.78742,0.0,18.57338809967041,18.57338809967041,0.0,228.352,228.352,0.0,296.96,296.96,333131,0,1.0
page-gc50,page,50,randwrite-4k-qd1,2,0.0,4752.137464,4752.137464,0.0,18.563036918640137,18.563036918640137,0.0,224.256,224.256,0.0,292.864,292.864,332898,0,1.0
page-gc50,page,50,randwrite-4k-qd1,3,0.0,4739.921001,4739.921001,0.0,18.515316009521484,18.515316009521484,0.0,228.352,228.352,0.0,329.728,329.728,331802,0,1.0
page-gc50,page,50,randwrite-4k-qd32,1,0.0,134923.334611,134923.334611,0.0,527.046293258667,527.046293258667,0.0,280.576,280.576,0.0,8978.432,8978.432,9463327,1064662,1.1125039851206664
page-gc50,page,50,randwrite-4k-qd32,2,0.0,135952.367461,135952.367461,0.0,531.0659532546997,531.0659532546997,0.0,276.48,276.48,0.0,8978.432,8978.432,9530684,1192620,1.1251347752165533
