condition,mapping,gc_threshold,workload,repetitions,total_iops_min,total_iops_median,total_iops_max,total_iops_relative_range_percent,worst_p99_us_min,worst_p99_us_median,worst_p99_us_max,worst_p99_us_relative_range_percent,worst_p999_us_min,worst_p999_us_median,worst_p999_us_max,worst_p999_us_relative_range_percent,waf_min,waf_median,waf_max,waf_relative_range_percent
page-gc75,page,75,randread-4k-qd1,3,26704.221596,26722.421293,26725.887902,0.08107912738309647,49.408,49.408,49.408,0.0,58.112,58.624,59.136,1.746724890829696,1.0,1.0,1.0,0.0
page-gc75,page,75,randread-4k-qd32,3,303452.775787,308053.415776,308845.769237,1.7506682847241817,164.864,166.912,171.008,3.6809815950920277,195.584,211.968,238.592,20.289855072463777,1.0,1.0,1.0,0.0
page-gc75,page,75,randrw30-4k-qd32,3,175902.484958,176035.21607999998,176249.61250699998,0.1971921054945298,248.832,250.88,259.072,4.081632653061228,3686.4,3686.4,3686.4,0.0,1.027378298161662,1.0273882893902202,1.0273914727644096,0.0012823391977198526
page-gc75,page,75,randrw70-4k-qd32,3,248556.757387,248804.936585,249085.165247,0.21237836646359506,272.384,272.384,276.48,1.5037593984962419,387.072,391.168,432.128,11.518324607329838,1.0273750080511346,1.0274579539621989,1.0276286914408186,0.024690391339687374
page-gc75,page,75,randwrite-4k-qd1,3,4774.270429,4774.537091,4776.053732,0.03735028058241888,224.256,226.304,228.352,1.8099547511312233,333.824,354.304,358.4,6.9364161849710895,1.0,1.0,1.0,0.0
page-gc75,page,75,randwrite-4k-qd32,3,145369.110515,145746.270895,145889.585174,0.35711010360941936,242.688,252.928,261.12,7.287449392712557,3751.936,3784.704,3784.704,0.8658008658008665,1.0224904689599157,1.027437947332539,1.0274681903551588,0.4844790294310616
page-gc75,page,75,read-128k-qd1,3,10139.464342,10154.930751,10160.313995,0.20531556060043019,164.864,164.864,164.864,0.0,205.824,205.824,205.824,0.0,1.0,1.0,1.0,0.0
page-gc75,page,75,read-128k-qd32,3,65791.453476,65952.18413,66112.098132,0.48617746361208203,839.68,839.68,839.68,0.0,1003.52,1011.712,1028.096,2.4291497975708523,1.0,1.0,1.0,0.0
page-gc75,page,75,write-128k-qd1,3,4595.00675,4596.723388,4600.939984,0.12907528905239585,224.256,224.256,228.352,1.8264840182648419,2146.304,2146.304,2146.304,0.0,1.0,1.0,1.0,0.0
page-gc75,page,75,write-128k-qd32,3,9622.391841,9622.708486,9622.841811,0.00467612627623838,5210.112,5210.112,5210.112,0.0,5275.648,5275.648,5275.648,0.0,1.0,1.0,1.0,0.0
