condition,mapping,gc_threshold,workload,repetitions,total_iops_min,total_iops_median,total_iops_max,total_iops_relative_range_percent,worst_p99_us_min,worst_p99_us_median,worst_p99_us_max,worst_p99_us_relative_range_percent,worst_p999_us_min,worst_p999_us_median,worst_p999_us_max,worst_p999_us_relative_range_percent,waf_min,waf_median,waf_max,waf_relative_range_percent
page-gc50,page,50,randread-4k-qd1,3,25875.035416,25915.751404,26460.708988,2.259913528533088,50.432,51.456,51.968,2.985074626865674,76.288,89.6,105.984,33.14285714285714,1.0,1.0,1.0,0.0
page-gc50,page,50,randread-4k-qd32,3,278065.282245,281068.198863,282838.069366,1.6980886277093135,197.632,201.728,205.824,4.06091370558376,252.928,259.072,264.192,4.347826086956526,1.0,1.0,1.0,0.0
page-gc50,page,50,randrw30-4k-qd32,3,160316.594724,161655.472408,161665.055583,0.8341572598276485,305.152,309.248,309.248,1.3245033112582794,8847.36,8847.36,8847.36,0.0,1.1248779916249783,1.1249094336336443,1.1249168512143304,0.0034544638163982616
page-gc50,page,50,randrw70-4k-qd32,3,220113.06478199997,220735.57107399998,225894.885085,2.619342353780262,321.536,329.728,333.824,3.7267080745341645,436.224,489.472,509.952,15.062761506276154,1.1246240544632666,1.1253517218129643,1.1254000088560854,0.06895216648966129
page-gc50,page,50,randwrite-4k-qd1,3,4739.921001,4752.137464,4754.78742,0.3128364680656037,224.256,228.352,228.352,1.793721973094172,292.864,296.96,329.728,12.413793103448288,1.0,1.0,1.0,0.0
page-gc50,page,50,randwrite-4k-qd32,3,134923.334611,135338.527691,135952.367461,0.7603399176540763,276.48,280.576,280.576,1.4598540145985412,8978.432,8978.432,8978.432,0.0,1.1125039851206664,1.1249147456873898,1.1251347752165533,1.122821986671416
page-gc50,page,50,read-128k-qd1,3,9974.500425,10001.233313,10063.065616,0.8855426948682332,164.864,166.912,166.912,1.226993865030676,205.824,205.824,207.872,0.9950248756218913,1.0,1.0,1.0,0.0
page-gc50,page,50,read-128k-qd32,3,61241.895968,61294.428426,62665.672239,2.322847781701578,897.024,913.408,954.368,6.278026905829602,1073.152,1122.304,1253.376,16.058394160583934,1.0,1.0,1.0,0.0
page-gc50,page,50,write-128k-qd1,3,4551.107482,4568.60719,4578.457026,0.5986407424097168,228.352,228.352,232.448,1.793721973094172,2146.304,2146.304,2146.304,0.0,1.0,1.0,1.0,0.0
page-gc50,page,50,write-128k-qd32,3,9618.458769,9624.508366,9631.357909,0.1340238847478969,5210.112,5210.112,5210.112,0.0,5275.648,5275.648,5341.184,1.2422360248447217,1.0,1.0,1.0,0.0
page-gc75,page,75,randread-4k-qd1,3,26704.221596,26722.421293,26725.887902,0.08107912738309647,49.408,49.408,49.408,0.0,58.112,58.624,59.136,1.746724890829696,1.0,1.0,1.0,0.0
page-gc75,page,75,randread-4k-qd32,3,303452.775787,308053.415776,308845.769237,1.7506682847241817,164.864,166.912,171.008,3.6809815950920277,195.584,211.968,238.592,20.289855072463777,1.0,1.0,1.0,0.0
page-gc75,page,75,randrw30-4k-qd32,3,175902.484958,176035.21607999998,176249.61250699998,0.1971921054945298,248.832,250.88,259.072,4.081632653061228,3686.4,3686.4,3686.4,0.0,1.027378298161662,1.0273882893902202,1.0273914727644096,0.0012823391977198526
page-gc75,page,75,randrw70-4k-qd32,3,248556.757387,248804.936585,249085.165247,0.21237836646359506,272.384,272.384,276.48,1.5037593984962419,387.072,391.168,432.128,11.518324607329838,1.0273750080511346,1.0274579539621989,1.0276286914408186,0.024690391339687374
page-gc75,page,75,randwrite-4k-qd1,3,4774.270429,4774.537091,4776.053732,0.03735028058241888,224.256,226.304,228.352,1.8099547511312233,333.824,354.304,358.4,6.9364161849710895,1.0,1.0,1.0,0.0
page-gc75,page,75,randwrite-4k-qd32,3,145369.110515,145746.270895,145889.585174,0.35711010360941936,242.688,252.928,261.12,7.287449392712557,3751.936,3784.704,3784.704,0.8658008658008665,1.0224904689599157,1.027437947332539,1.0274681903551588,0.4844790294310616
page-gc75,page,75,read-128k-qd1,3,10139.464342,10154.930751,10160.313995,0.20531556060043019,164.864,164.864,164.864,0.0,205.824,205.824,205.824,0.0,1.0,1.0,1.0,0.0
page-gc75,page,75,read-128k-qd32,3,65791.453476,65952.18413,66112.098132,0.48617746361208203,839.68,839.68,839.68,0.0,1003.52,1011.712,1028.096,2.4291497975708523,1.0,1.0,1.0,0.0
